Epoch 51: Train MSE=0.001727, Val MSE=0.001714, Train PSNR=28.52 dB, Val PSNR=28.47 dB, Train SSIM=0.6444, Val SSIM=0.6431, Iter Train=148.0, Iter Val=153.0, Time Epoch=1136.31 sec
Epoch 52: Train MSE=0.001699, Val MSE=0.001634, Train PSNR=28.60 dB, Val PSNR=28.75 dB, Train SSIM=0.6452, Val SSIM=0.6468, Iter Train=203.0, Iter Val=240.0, Time Epoch=1247.09 sec
Epoch 53: Train MSE=0.001716, Val MSE=0.001728, Train PSNR=28.54 dB, Val PSNR=28.43 dB, Train SSIM=0.6452, Val SSIM=0.6432, Iter Train=187.0, Iter Val=160.0, Time Epoch=1035.01 sec
Epoch 54: Train MSE=0.001744, Val MSE=0.001727, Train PSNR=28.46 dB, Val PSNR=28.43 dB, Train SSIM=0.6444, Val SSIM=0.6434, Iter Train=206.0, Iter Val=159.0, Time Epoch=966.41 sec
Epoch 55: Train MSE=0.001728, Val MSE=0.001634, Train PSNR=28.51 dB, Val PSNR=28.75 dB, Train SSIM=0.6448, Val SSIM=0.6470, Iter Train=182.0, Iter Val=243.0, Time Epoch=1280.77 sec
Epoch 56: Train MSE=0.001722, Val MSE=0.001629, Train PSNR=28.52 dB, Val PSNR=28.77 dB, Train SSIM=0.6448, Val SSIM=0.6474, Iter Train=188.0, Iter Val=255.0, Time Epoch=1117.71 sec
Epoch 57: Train MSE=0.001711, Val MSE=0.001629, Train PSNR=28.55 dB, Val PSNR=28.77 dB, Train SSIM=0.6453, Val SSIM=0.6472, Iter Train=344.0, Iter Val=267.0, Time Epoch=1242.61 sec
Epoch 58: Train MSE=0.001714, Val MSE=0.001632, Train PSNR=28.54 dB, Val PSNR=28.76 dB, Train SSIM=0.6449, Val SSIM=0.6472, Iter Train=158.0, Iter Val=243.0, Time Epoch=1177.27 sec
Epoch 59: Train MSE=0.001734, Val MSE=0.001647, Train PSNR=28.51 dB, Val PSNR=28.70 dB, Train SSIM=0.6446, Val SSIM=0.6466, Iter Train=190.0, Iter Val=220.0, Time Epoch=1211.87 sec
Epoch 60: Train MSE=0.001752, Val MSE=0.001670, Train PSNR=28.42 dB, Val PSNR=28.61 dB, Train SSIM=0.6437, Val SSIM=0.6453, Iter Train=165.0, Iter Val=187.0, Time Epoch=1048.93 sec
Epoch 61: Train MSE=0.001742, Val MSE=0.001661, Train PSNR=28.45 dB, Val PSNR=28.65 dB, Train SSIM=0.6439, Val SSIM=0.6457, Iter Train=284.0, Iter Val=191.0, Time Epoch=969.74 sec
Epoch 62: Train MSE=0.001739, Val MSE=0.001673, Train PSNR=28.44 dB, Val PSNR=28.60 dB, Train SSIM=0.6438, Val SSIM=0.6450, Iter Train=171.0, Iter Val=177.0, Time Epoch=1021.45 sec
Epoch 63: Train MSE=0.001709, Val MSE=0.001646, Train PSNR=28.53 dB, Val PSNR=28.70 dB, Train SSIM=0.6450, Val SSIM=0.6468, Iter Train=301.0, Iter Val=220.0, Time Epoch=1178.46 sec
Epoch 64: Train MSE=0.001749, Val MSE=0.001654, Train PSNR=28.43 dB, Val PSNR=28.67 dB, Train SSIM=0.6442, Val SSIM=0.6468, Iter Train=179.0, Iter Val=217.0, Time Epoch=1074.02 sec
Epoch 65: Train MSE=0.001743, Val MSE=0.001671, Train PSNR=28.43 dB, Val PSNR=28.61 dB, Train SSIM=0.6442, Val SSIM=0.6457, Iter Train=301.0, Iter Val=188.0, Time Epoch=985.29 sec
Epoch 66: Train MSE=0.001744, Val MSE=0.001643, Train PSNR=28.45 dB, Val PSNR=28.71 dB, Train SSIM=0.6445, Val SSIM=0.6475, Iter Train=169.0, Iter Val=237.0, Time Epoch=1056.17 sec
Epoch 67: Train MSE=0.001729, Val MSE=0.001646, Train PSNR=28.47 dB, Val PSNR=28.70 dB, Train SSIM=0.6450, Val SSIM=0.6469, Iter Train=198.0, Iter Val=224.0, Time Epoch=1107.61 sec
Epoch 68: Train MSE=0.001727, Val MSE=0.001649, Train PSNR=28.47 dB, Val PSNR=28.69 dB, Train SSIM=0.6447, Val SSIM=0.6464, Iter Train=301.0, Iter Val=210.0, Time Epoch=1221.64 sec
Epoch 69: Train MSE=0.001736, Val MSE=0.001663, Train PSNR=28.43 dB, Val PSNR=28.64 dB, Train SSIM=0.6442, Val SSIM=0.6463, Iter Train=333.0, Iter Val=200.0, Time Epoch=1078.32 sec
Epoch 70: Train MSE=0.001735, Val MSE=0.001676, Train PSNR=28.46 dB, Val PSNR=28.59 dB, Train SSIM=0.6446, Val SSIM=0.6454, Iter Train=163.0, Iter Val=183.0, Time Epoch=1087.47 sec
Epoch 71: Train MSE=0.001753, Val MSE=0.001725, Train PSNR=28.40 dB, Val PSNR=28.42 dB, Train SSIM=0.6431, Val SSIM=0.6425, Iter Train=138.0, Iter Val=134.0, Time Epoch=997.64 sec
Epoch 72: Train MSE=0.001721, Val MSE=0.001688, Train PSNR=28.47 dB, Val PSNR=28.54 dB, Train SSIM=0.6436, Val SSIM=0.6441, Iter Train=133.0, Iter Val=169.0, Time Epoch=1106.03 sec
Epoch 73: Train MSE=0.001713, Val MSE=0.001660, Train PSNR=28.52 dB, Val PSNR=28.65 dB, Train SSIM=0.6448, Val SSIM=0.6457, Iter Train=316.0, Iter Val=195.0, Time Epoch=1124.64 sec
Epoch 74: Train MSE=0.001740, Val MSE=0.001770, Train PSNR=28.47 dB, Val PSNR=28.26 dB, Train SSIM=0.6441, Val SSIM=0.6406, Iter Train=277.0, Iter Val=135.0, Time Epoch=1025.44 sec
Epoch 75: Train MSE=0.001773, Val MSE=0.001723, Train PSNR=28.34 dB, Val PSNR=28.42 dB, Train SSIM=0.6429, Val SSIM=0.6433, Iter Train=150.0, Iter Val=160.0, Time Epoch=837.51 sec
Epoch 76: Train MSE=0.001785, Val MSE=0.001634, Train PSNR=28.31 dB, Val PSNR=28.75 dB, Train SSIM=0.6423, Val SSIM=0.6466, Iter Train=250.0, Iter Val=274.0, Time Epoch=866.32 sec
Epoch 77: Train MSE=0.001769, Val MSE=0.001666, Train PSNR=28.34 dB, Val PSNR=28.62 dB, Train SSIM=0.6421, Val SSIM=0.6447, Iter Train=202.0, Iter Val=200.0, Time Epoch=842.84 sec
Epoch 78: Train MSE=0.001738, Val MSE=0.001682, Train PSNR=28.44 dB, Val PSNR=28.56 dB, Train SSIM=0.6433, Val SSIM=0.6445, Iter Train=166.0, Iter Val=208.0, Time Epoch=927.02 sec
Epoch 79: Train MSE=0.001726, Val MSE=0.001641, Train PSNR=28.47 dB, Val PSNR=28.72 dB, Train SSIM=0.6443, Val SSIM=0.6470, Iter Train=223.0, Iter Val=271.0, Time Epoch=974.63 sec
Epoch 80: Train MSE=0.001751, Val MSE=0.001697, Train PSNR=28.42 dB, Val PSNR=28.50 dB, Train SSIM=0.6440, Val SSIM=0.6448, Iter Train=125.0, Iter Val=183.0, Time Epoch=998.54 sec
Epoch 81: Train MSE=0.001735, Val MSE=0.001632, Train PSNR=28.44 dB, Val PSNR=28.75 dB, Train SSIM=0.6449, Val SSIM=0.6481, Iter Train=196.0, Iter Val=296.0, Time Epoch=1222.25 sec
Epoch 82: Train MSE=0.001722, Val MSE=0.001669, Train PSNR=28.48 dB, Val PSNR=28.61 dB, Train SSIM=0.6454, Val SSIM=0.6462, Iter Train=226.0, Iter Val=203.0, Time Epoch=1184.39 sec
Total training time: 76937.75 seconds
Mean time per epoch: 938.27 seconds
